,London Bloomsbury,,London Harlington,,London Marylebone Road,,London N. Kensington,,London Teddington Bushy Park,,London Westminster,
29-08-20,4,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
30-08-20,5,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
31-08-20,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
01-09-20,No data,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),12,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
02-09-20,7,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
03-09-20,4,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
04-09-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
05-09-20,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
06-09-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
07-09-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
08-09-20,3,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
09-09-20,5,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
10-09-20,7,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
11-09-20,8,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
12-09-20,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
13-09-20,4,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
14-09-20,No data,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),15,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
15-09-20,No data,V ugm-3 (BAM),25,V ugm-3 (Ref.eq),31,V ugm-3 (TEOM FDMS),24,V ugm-3 (Ref.eq),24,V ugm-3 (Ref.eq),32,V ugm-3 (BAM)
16-09-20,No data,V ugm-3 (BAM),14,V ugm-3 (Ref.eq),18,V ugm-3 (TEOM FDMS),14,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),19,V ugm-3 (BAM)
17-09-20,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
18-09-20,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
19-09-20,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
20-09-20,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
21-09-20,No data,V ugm-3 (BAM),13,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),19,V ugm-3 (BAM)
22-09-20,No data,V ugm-3 (BAM),14,V ugm-3 (Ref.eq),18,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
23-09-20,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
24-09-20,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
25-09-20,No data,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
26-09-20,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
27-09-20,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
28-09-20,No data,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
29-09-20,No data,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
30-09-20,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
01-10-20,3,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
02-10-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
03-10-20,6,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
04-10-20,3,V ugm-3 (BAM),2,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),2,V ugm-3 (Ref.eq),2,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
05-10-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
06-10-20,3,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
07-10-20,4,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
08-10-20,4,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
09-10-20,7,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
10-10-20,4,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
11-10-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
12-10-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
13-10-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
14-10-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
15-10-20,5,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
16-10-20,7,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
17-10-20,6,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
18-10-20,11,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
19-10-20,10,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
20-10-20,9,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
21-10-20,4,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
22-10-20,4,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
23-10-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
24-10-20,3,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
25-10-20,4,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
26-10-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
27-10-20,5,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
28-10-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
29-10-20,5,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
30-10-20,3,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
31-10-20,6,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
01-11-20,5,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
02-11-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
03-11-20,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
04-11-20,12,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
05-11-20,41,V ugm-3 (BAM),32,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),38,V ugm-3 (Ref.eq),33,V ugm-3 (Ref.eq),46,V ugm-3 (BAM)
06-11-20,42,V ugm-3 (BAM),35,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),38,V ugm-3 (Ref.eq),48,V ugm-3 (Ref.eq),43,V ugm-3 (BAM)
07-11-20,30,V ugm-3 (BAM),26,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),27,V ugm-3 (Ref.eq),29,V ugm-3 (Ref.eq),33,V ugm-3 (BAM)
08-11-20,30,V ugm-3 (BAM),34,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),30,V ugm-3 (Ref.eq),35,V ugm-3 (Ref.eq),36,V ugm-3 (BAM)
09-11-20,9,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
10-11-20,7,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
11-11-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
12-11-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
13-11-20,5,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
14-11-20,7,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
15-11-20,3,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
16-11-20,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
17-11-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
18-11-20,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
19-11-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
20-11-20,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
21-11-20,5,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
22-11-20,6,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
23-11-20,11,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
24-11-20,5,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
25-11-20,10,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
26-11-20,15,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),14,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
27-11-20,23,V ugm-3 (BAM),17,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),22,V ugm-3 (Ref.eq),23,V ugm-3 (Ref.eq),26,V ugm-3 (BAM)
28-11-20,36,V ugm-3 (BAM),33,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),35,V ugm-3 (Ref.eq),35,V ugm-3 (Ref.eq),40,V ugm-3 (BAM)
29-11-20,27,V ugm-3 (BAM),28,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),26,V ugm-3 (Ref.eq),27,V ugm-3 (Ref.eq),30,V ugm-3 (BAM)
30-11-20,13,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
01-12-20,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
02-12-20,14,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),13,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
03-12-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
04-12-20,9,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
05-12-20,8,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
06-12-20,14,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),15,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
07-12-20,17,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),14,V ugm-3 (Ref.eq),16,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
08-12-20,20,V ugm-3 (BAM),16,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),16,V ugm-3 (Ref.eq),16,V ugm-3 (Ref.eq),23,V ugm-3 (BAM)
09-12-20,10,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
10-12-20,10,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
11-12-20,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
12-12-20,9,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
13-12-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
14-12-20,6,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
15-12-20,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
16-12-20,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
17-12-20,5,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
18-12-20,4,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
19-12-20,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
20-12-20,4,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
21-12-20,2,V ugm-3 (BAM),2,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),2,V ugm-3 (Ref.eq),2,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
22-12-20,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
23-12-20,3,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
24-12-20,4,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
25-12-20,7,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
26-12-20,3,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
27-12-20,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
28-12-20,11,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
29-12-20,14,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),13,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
