,London Bloomsbury,,London Harlington,,London Marylebone Road,,London N. Kensington,,London Teddington Bushy Park,,London Westminster,
30-12-20,11,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),15,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),16,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
31-12-20,16,V ugm-3 (BAM),14,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),16,V ugm-3 (Ref.eq),21,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
01-01-21,20,V ugm-3 (BAM),18,V ugm-3 (Ref.eq),22,V ugm-3 (TEOM FDMS),21,V ugm-3 (Ref.eq),23,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
02-01-21,8,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
03-01-21,8,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
04-01-21,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
05-01-21,6,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
06-01-21,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
07-01-21,17,V ugm-3 (BAM),15,V ugm-3 (Ref.eq),23,V ugm-3 (TEOM FDMS),16,V ugm-3 (Ref.eq),17,V ugm-3 (Ref.eq),20,V ugm-3 (BAM)
08-01-21,23,V ugm-3 (BAM),21,V ugm-3 (Ref.eq),24,V ugm-3 (TEOM FDMS),22,V ugm-3 (Ref.eq),24,V ugm-3 (Ref.eq),24,V ugm-3 (BAM)
09-01-21,18,V ugm-3 (BAM),14,V ugm-3 (Ref.eq),19,V ugm-3 (TEOM FDMS),17,V ugm-3 (Ref.eq),18,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
10-01-21,17,V ugm-3 (BAM),15,V ugm-3 (Ref.eq),19,V ugm-3 (TEOM FDMS),17,V ugm-3 (Ref.eq),16,V ugm-3 (Ref.eq),19,V ugm-3 (BAM)
11-01-21,No data,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),13,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
12-01-21,No data,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
13-01-21,No data,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),17,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
14-01-21,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
15-01-21,14,V ugm-3 (BAM),15,V ugm-3 (Ref.eq),18,V ugm-3 (TEOM FDMS),16,V ugm-3 (Ref.eq),16,V ugm-3 (Ref.eq),19,V ugm-3 (BAM)
16-01-21,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
17-01-21,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),12,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
18-01-21,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),14,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
19-01-21,3,V ugm-3 (BAM),2,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
20-01-21,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
21-01-21,No data,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
22-01-21,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
23-01-21,9,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
24-01-21,10,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
25-01-21,10,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
26-01-21,9,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
27-01-21,8,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
28-01-21,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
29-01-21,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
30-01-21,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
31-01-21,10,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
01-02-21,16,V ugm-3 (BAM),14,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),15,V ugm-3 (Ref.eq),14,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
02-02-21,11,V ugm-3 (BAM),No data,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
03-02-21,9,V ugm-3 (BAM),No data,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
04-02-21,8,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
05-02-21,7,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
06-02-21,11,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
07-02-21,8,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
08-02-21,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
09-02-21,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
10-02-21,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
11-02-21,15,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),15,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),13,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
12-02-21,14,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),14,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
13-02-21,13,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),12,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
14-02-21,13,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),12,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
15-02-21,9,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
16-02-21,8,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
17-02-21,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
18-02-21,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
19-02-21,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
20-02-21,15,V ugm-3 (BAM),13,V ugm-3 (Ref.eq),14,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),15,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
21-02-21,13,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),13,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),13,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
22-02-21,19,V ugm-3 (BAM),15,V ugm-3 (Ref.eq),22,V ugm-3 (TEOM FDMS),18,V ugm-3 (Ref.eq),18,V ugm-3 (Ref.eq),20,V ugm-3 (BAM)
23-02-21,9,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
24-02-21,8,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
25-02-21,8,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
26-02-21,12,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),13,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
27-02-21,17,V ugm-3 (BAM),17,V ugm-3 (Ref.eq),19,V ugm-3 (TEOM FDMS),21,V ugm-3 (Ref.eq),20,V ugm-3 (Ref.eq),23,V ugm-3 (BAM)
28-02-21,18,V ugm-3 (BAM),18,V ugm-3 (Ref.eq),18,V ugm-3 (TEOM FDMS),18,V ugm-3 (Ref.eq),19,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
01-03-21,28,V ugm-3 (BAM),25,V ugm-3 (Ref.eq),28,V ugm-3 (TEOM FDMS),27,V ugm-3 (Ref.eq),31,V ugm-3 (Ref.eq),30,V ugm-3 (BAM)
02-03-21,39,V ugm-3 (BAM),36,V ugm-3 (Ref.eq),40,V ugm-3 (TEOM FDMS),38,V ugm-3 (Ref.eq),39,V ugm-3 (Ref.eq),41,V ugm-3 (BAM)
03-03-21,45,V ugm-3 (BAM),41,V ugm-3 (Ref.eq),45,V ugm-3 (TEOM FDMS),43,V ugm-3 (Ref.eq),42,V ugm-3 (Ref.eq),47,V ugm-3 (BAM)
04-03-21,15,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),13,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),13,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
05-03-21,6,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
06-03-21,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
07-03-21,16,V ugm-3 (BAM),17,V ugm-3 (Ref.eq),15,V ugm-3 (TEOM FDMS),19,V ugm-3 (Ref.eq),23,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
08-03-21,28,V ugm-3 (BAM),24,V ugm-3 (Ref.eq),31,V ugm-3 (TEOM FDMS),31,V ugm-3 (Ref.eq),31,V ugm-3 (Ref.eq),31,V ugm-3 (BAM)
09-03-21,15,V ugm-3 (BAM),15,V ugm-3 (Ref.eq),17,V ugm-3 (TEOM FDMS),16,V ugm-3 (Ref.eq),16,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
10-03-21,11,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),13,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),12,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
11-03-21,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
12-03-21,5,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
13-03-21,5,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
14-03-21,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
15-03-21,9,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
16-03-21,9,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
17-03-21,12,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
18-03-21,12,V ugm-3 (BAM),10,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
19-03-21,5,V ugm-3 (BAM),3,V ugm-3 (Ref.eq),4,V ugm-3 (TEOM FDMS),3,V ugm-3 (Ref.eq),3,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
20-03-21,9,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
21-03-21,10,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
22-03-21,15,V ugm-3 (BAM),15,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),15,V ugm-3 (Ref.eq),16,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
23-03-21,17,V ugm-3 (BAM),16,V ugm-3 (Ref.eq),19,V ugm-3 (TEOM FDMS),18,V ugm-3 (Ref.eq),16,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
24-03-21,17,V ugm-3 (BAM),16,V ugm-3 (Ref.eq),20,V ugm-3 (TEOM FDMS),19,V ugm-3 (Ref.eq),16,V ugm-3 (Ref.eq),19,V ugm-3 (BAM)
25-03-21,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
26-03-21,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
27-03-21,7,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
28-03-21,9,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
29-03-21,10,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
30-03-21,16,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),18,V ugm-3 (TEOM FDMS),15,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
31-03-21,27,V ugm-3 (BAM),21,V ugm-3 (Ref.eq),28,V ugm-3 (TEOM FDMS),24,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),27,V ugm-3 (BAM)
01-04-21,21,V ugm-3 (BAM),16,V ugm-3 (Ref.eq),19,V ugm-3 (TEOM FDMS),19,V ugm-3 (Ref.eq),20,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
02-04-21,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),3,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
03-04-21,9,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
04-04-21,13,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),12,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),13,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
05-04-21,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
06-04-21,4,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
07-04-21,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),No data,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
08-04-21,7,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
09-04-21,7,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
10-04-21,8,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
11-04-21,6,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
12-04-21,9,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
13-04-21,13,V ugm-3 (BAM),12,V ugm-3 (Ref.eq),17,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
14-04-21,12,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),12,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
15-04-21,8,V ugm-3 (BAM),4,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),4,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
16-04-21,9,V ugm-3 (BAM),7,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
17-04-21,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
18-04-21,9,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
19-04-21,20,V ugm-3 (BAM),18,V ugm-3 (Ref.eq),19,V ugm-3 (TEOM FDMS),17,V ugm-3 (Ref.eq),19,V ugm-3 (Ref.eq),23,V ugm-3 (BAM)
20-04-21,34,V ugm-3 (BAM),26,V ugm-3 (Ref.eq),33,V ugm-3 (TEOM FDMS),31,V ugm-3 (Ref.eq),28,V ugm-3 (Ref.eq),38,V ugm-3 (BAM)
21-04-21,36,V ugm-3 (BAM),27,V ugm-3 (Ref.eq),35,V ugm-3 (TEOM FDMS),34,V ugm-3 (Ref.eq),35,V ugm-3 (Ref.eq),36,V ugm-3 (BAM)
22-04-21,8,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
23-04-21,9,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),8,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
24-04-21,12,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
25-04-21,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
26-04-21,7,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
27-04-21,15,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),15,V ugm-3 (TEOM FDMS),14,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
28-04-21,18,V ugm-3 (BAM),16,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),16,V ugm-3 (Ref.eq),18,V ugm-3 (Ref.eq),20,V ugm-3 (BAM)
29-04-21,8,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
30-04-21,11,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
01-05-21,11,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),10,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
02-05-21,14,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),17,V ugm-3 (TEOM FDMS),12,V ugm-3 (Ref.eq),14,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
03-05-21,7,V ugm-3 (BAM),5,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
